topic_num,coherence
5,0.38459
10,0.42534
15,0.44499
20,0.47125
25,0.4678
30,0.47518
35,0.48577
40,0.50661
45,0.5049
50,0.50569
55,0.51497
60,0.52324
65,0.52163
70,0.52204
75,0.52739
80,0.52784
85,0.53216
90,0.53375
95,0.53385
100,0.53818
